RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
USER	Positive: Fetch 10 pokemon characters and validate the schema	1	START	1604625681884	1604625681884
USER	Positive: Fetch 10 pokemon characters and validate the schema	2	START	1604625682787	1604625682787
USER	Positive: Fetch 10 pokemon characters and validate the schema	3	START	1604625682887	1604625682887
USER	Positive: Fetch 10 pokemon characters and validate the schema	4	START	1604625682987	1604625682987
USER	Positive: Fetch 10 pokemon characters and validate the schema	5	START	1604625683093	1604625683093
USER	Positive: Fetch 10 pokemon characters and validate the schema	6	START	1604625683188	1604625683188
USER	Positive: Fetch 10 pokemon characters and validate the schema	7	START	1604625683289	1604625683289
USER	Positive: Fetch 10 pokemon characters and validate the schema	8	START	1604625683388	1604625683388
USER	Positive: Fetch 10 pokemon characters and validate the schema	9	START	1604625683498	1604625683498
USER	Positive: Fetch 10 pokemon characters and validate the schema	10	START	1604625683598	1604625683598
USER	Positive: Fetch 10 pokemon characters and validate the schema	11	START	1604625683697	1604625683697
USER	Positive: Fetch 10 pokemon characters and validate the schema	12	START	1604625683799	1604625683799
REQUEST	2		GET /basic-auth/	1604625683230	1604625684539	OK	 
REQUEST	4		GET /api/v2/pokemon/	1604625684681	1604625685873	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	4	END	1604625682987	1604625685907
USER	Positive: Fetch 10 pokemon characters and validate the schema	13	START	1604625685928	1604625685928
REQUEST	7		GET /api/v2/pokemon/	1604625684678	1604625686003	OK	 
REQUEST	3		GET /api/v2/pokemon/	1604625684676	1604625686003	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	14	START	1604625686006	1604625686006
REQUEST	8		GET /api/v2/pokemon/	1604625684674	1604625686001	OK	 
REQUEST	5		GET /api/v2/pokemon/	1604625684679	1604625686007	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	17	START	1604625686010	1604625686010
USER	Positive: Fetch 10 pokemon characters and validate the schema	16	START	1604625686009	1604625686009
USER	Positive: Fetch 10 pokemon characters and validate the schema	22	START	1604625686036	1604625686036
REQUEST	9		GET /api/v2/pokemon/	1604625684672	1604625686037	OK	 
REQUEST	10		GET /api/v2/pokemon/	1604625684665	1604625686040	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	23	START	1604625686041	1604625686041
USER	Positive: Fetch 10 pokemon characters and validate the schema	15	START	1604625686008	1604625686008
REQUEST	11		GET /api/v2/pokemon/	1604625684670	1604625686037	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	18	START	1604625686055	1604625686055
USER	Positive: Fetch 10 pokemon characters and validate the schema	19	START	1604625686058	1604625686058
USER	Positive: Fetch 10 pokemon characters and validate the schema	20	START	1604625686060	1604625686060
USER	Positive: Fetch 10 pokemon characters and validate the schema	21	START	1604625686064	1604625686064
USER	Positive: Fetch 10 pokemon characters and validate the schema	24	START	1604625686044	1604625686044
USER	Positive: Fetch 10 pokemon characters and validate the schema	25	START	1604625686118	1604625686118
USER	Positive: Fetch 10 pokemon characters and validate the schema	26	START	1604625686121	1604625686121
USER	Positive: Fetch 10 pokemon characters and validate the schema	27	START	1604625686124	1604625686124
USER	Positive: Fetch 10 pokemon characters and validate the schema	28	START	1604625686126	1604625686126
USER	Positive: Fetch 10 pokemon characters and validate the schema	29	START	1604625686129	1604625686129
USER	Positive: Fetch 10 pokemon characters and validate the schema	30	START	1604625686132	1604625686132
USER	Positive: Fetch 10 pokemon characters and validate the schema	31	START	1604625686134	1604625686134
USER	Positive: Fetch 10 pokemon characters and validate the schema	32	START	1604625686141	1604625686141
USER	Positive: Fetch 10 pokemon characters and validate the schema	33	START	1604625686149	1604625686149
USER	Positive: Fetch 10 pokemon characters and validate the schema	34	START	1604625686173	1604625686173
USER	Positive: Fetch 10 pokemon characters and validate the schema	35	START	1604625686176	1604625686176
USER	Positive: Fetch 10 pokemon characters and validate the schema	36	START	1604625686179	1604625686179
USER	Positive: Fetch 10 pokemon characters and validate the schema	37	START	1604625686182	1604625686182
USER	Positive: Fetch 10 pokemon characters and validate the schema	38	START	1604625686185	1604625686185
USER	Positive: Fetch 10 pokemon characters and validate the schema	39	START	1604625686188	1604625686188
USER	Positive: Fetch 10 pokemon characters and validate the schema	40	START	1604625686190	1604625686190
USER	Positive: Fetch 10 pokemon characters and validate the schema	41	START	1604625686193	1604625686193
USER	Positive: Fetch 10 pokemon characters and validate the schema	42	START	1604625686195	1604625686195
USER	Positive: Fetch 10 pokemon characters and validate the schema	7	END	1604625683289	1604625686005
USER	Positive: Fetch 10 pokemon characters and validate the schema	3	END	1604625682887	1604625686006
USER	Positive: Fetch 10 pokemon characters and validate the schema	8	END	1604625683388	1604625686010
USER	Positive: Fetch 10 pokemon characters and validate the schema	5	END	1604625683093	1604625686010
USER	Positive: Fetch 10 pokemon characters and validate the schema	9	END	1604625683498	1604625686042
USER	Positive: Fetch 10 pokemon characters and validate the schema	10	END	1604625683598	1604625686043
USER	Positive: Fetch 10 pokemon characters and validate the schema	11	END	1604625683697	1604625686054
REQUEST	13		GET /api/v2/pokemon/	1604625685997	1604625686226	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	13	END	1604625685928	1604625686229
REQUEST	14		GET /api/v2/pokemon/	1604625686133	1604625686256	OK	 
REQUEST	17		GET /api/v2/pokemon/	1604625686151	1604625686256	OK	 
REQUEST	23		GET /api/v2/pokemon/	1604625686139	1604625686257	OK	 
REQUEST	16		GET /api/v2/pokemon/	1604625686153	1604625686258	OK	 
REQUEST	22		GET /api/v2/pokemon/	1604625686173	1604625686297	OK	 
REQUEST	18		GET /api/v2/pokemon/	1604625686180	1604625686297	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	14	END	1604625686006	1604625686286
USER	Positive: Fetch 10 pokemon characters and validate the schema	16	END	1604625686009	1604625686289
USER	Positive: Fetch 10 pokemon characters and validate the schema	23	END	1604625686041	1604625686289
USER	Positive: Fetch 10 pokemon characters and validate the schema	17	END	1604625686010	1604625686293
USER	Positive: Fetch 10 pokemon characters and validate the schema	22	END	1604625686036	1604625686300
REQUEST	24		GET /api/v2/pokemon/	1604625686251	1604625686394	OK	 
REQUEST	15		GET /api/v2/pokemon/	1604625686229	1604625686427	OK	 
REQUEST	26		GET /api/v2/pokemon/	1604625686355	1604625686465	OK	 
REQUEST	25		GET /api/v2/pokemon/	1604625686369	1604625686468	OK	 
REQUEST	27		GET /api/v2/pokemon/	1604625686369	1604625686471	OK	 
REQUEST	1		GET /api/v2/pokemon/	1604625684670	1604625686488	OK	 
REQUEST	6		GET /api/v2/pokemon/	1604625684672	1604625686490	OK	 
REQUEST	2		GET /api/v2/pokemon/	1604625684650	1604625686495	OK	 
REQUEST	28		GET /api/v2/pokemon/	1604625686380	1604625686523	OK	 
REQUEST	12		GET /api/v2/pokemon/	1604625684667	1604625686495	OK	 
REQUEST	29		GET /api/v2/pokemon/	1604625686378	1604625686525	OK	 
REQUEST	30		GET /api/v2/pokemon/	1604625686383	1604625686579	OK	 
REQUEST	31		GET /api/v2/pokemon/	1604625686418	1604625686591	OK	 
REQUEST	33		GET /api/v2/pokemon/	1604625686522	1604625686678	OK	 
REQUEST	34		GET /api/v2/pokemon/	1604625686527	1604625686679	OK	 
REQUEST	19		GET /api/v2/pokemon/	1604625686543	1604625686682	OK	 
REQUEST	32		GET /api/v2/pokemon/	1604625686477	1604625686683	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	43	START	1604625686684	1604625686684
USER	Positive: Fetch 10 pokemon characters and validate the schema	44	START	1604625686685	1604625686685
REQUEST	35		GET /api/v2/pokemon/	1604625686533	1604625686686	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	45	START	1604625686686	1604625686686
